Groupe	Genre	HabitudeTravaillerEnsemble	DifficulteTrouverRoche	QualificationTravailEquipe	BonneCommunication	PerformancePerso	PerformanceCoeq	EquilibreParole	EquilibreQuestions	BonneEquipe	HabitudeGuider	HabitudeEtreGuider	SensOrientation	GeneVisionCoeq	PdCs	Module	Role	ChronoSec	TrouveRoche
1	Femme	1	2	Efficace,Méthodique	OUI	4	5	Equitable	Equitable	OUI	NON	NON	NON	UnPeu	3	M2	Astro	528	OUI
1	Homme	1	2	Méthodique	OUI	4	4	Equitable	Moi	OUI	OUI	Parfois	OUI	NON	5	M2	CapCom	528	OUI
2	Femme	1	3	LentementMaisVigilant	Ignorer	2	4	Equitable	Equitable	Ignorer	NON	Parfois	NON	NON	3	M1	Astro	1172	NON
2	Femme	1	3	Frustrant,Méthodique	OUI	2	4	Moi	Equitable	Ignorer	NON	NON	OUI	UnPeu	2	M1	CapCom	1172	NON
3	Homme	1	1	Efficace,Méthodique	OUI	4	4	Equitable	Moi	OUI	Parfois	Parfois	OUI	NON	5	M1	Astro	392	OUI
3	Homme	1	1	Efficace,Méthodique	OUI	5	5	Moi	Equitable	OUI	OUI	Parfois	OUI	NON	5	M1	CapCom	392	OUI
4	Femme	1	2	Méthodique,Dynamique	OUI	3	4	Coéquipier	Moi	OUI	Parfois	Parfois	OUI	NON	5	M1	Astro	842	OUI
4	Femme	1	2	LentementMaisVigilant,Méthodique	OUI	4	4	Equitable	Moi	OUI	NON	Parfois	NON	UnPeu	4	M1	CapCom	842	OUI
5	Femme	1	3	Frustrant,Dynamique	OUI	3	4	Coéquipier	Moi	OUI	NON	NON	NON	UnPeu	4	M2	Astro	1053	NON
5	Homme	3	4	Méthodique,Dynamique	Ignorer	2	3	Moi	Moi	Ignorer	NON	NON	NON	NON	4	M2	CapCom	1053	NON
6	Homme	1	4	BonneAmbiance,Méthodique	OUI	3	3	Moi	Equitable	OUI	NON	NON	OUI	NON	3	M2	CapCom	977	NON
6	Femme	1	4	LentementMaisVigilant,Méthodique	Ignorer	3	3	Equitable	Coéquipier	OUI	Parfois	Parfois	OUI	NON	4	M2	Astro	977	NON
7	Femme	4	1	Efficace,BonneAmbiance	OUI	4	5	Equitable	Equitable	OUI	Parfois	Parfois	NON	NON	4	M2	Astro	370	OUI
7	Homme	2	1	Efficace,Frustrant	OUI	3	5	Equitable	Moi	OUI	NON	NON	OUI	UnPeu	4	M2	CapCom	370	OUI
8	Homme	1	4	Chaotique	OUI	4	2	Moi	Moi	Ignorer	OUI	OUI	OUI	OUI	4	M2	CapCom	1100	NON
8	Femme	1	4	BonneAmbiance,inefficace	NON	1	3	Equitable	Coéquipier	NON	NON	NON	NON	UnPeu	2	M2	Astro	1100	NON
10	Femme	3	3	LentementMaisVigilant	OUI	4	4	Equitable	Coéquipier	OUI	OUI	OUI	OUI	NON	3	M1	Astro	606	OUI
10	Femme	3	3	Méthodique	OUI	4	4	Equitable	Equitable	OUI	NON	NON	OUI	UnPeu	5	M1	CapCom	606	OUI
