Groupe;HabitudeTravaillerEnsemble;DifficulteTrouverRoche;BonneCommunication;PerformancePerso;PerformanceCoeq;EquilibreParole;EquilibreQuestions;BonneEquipe;GeneVisionCoeq;PdCs;ChronoSec;TrouveRoche
1;1;1;1;1;1;1;0;1;0;0;528;OUI
3;1;1;1;1;1;0;0;1;1;1;392;OUI
4;1;1;1;1;1;0;0;1;0;1;842;OUI
7;0;1;1;1;1;1;0;1;0;1;370;OUI
10;1;1;1;1;1;1;0;1;0;0;606;OUI
11;1;1;1;1;1;0;0;1;1;1;543;OUI
15;1;1;1;1;1;1;0;1;1;1;785;OUI
16;1;1;1;1;1;0;0;1;0;1;511;OUI
17;1;1;1;1;1;0;1;1;0;1;481;OUI
18;1;1;1;1;1;1;1;1;1;0;750;OUI
19;1;1;1;1;1;1;0;1;0;0;629;OUI
20;0;1;1;1;1;0;1;1;0;0;641;OUI
21;1;1;1;1;1;0;1;1;0;1;605;OUI
22;0;1;1;1;1;1;1;1;0;0;592;OUI
23;0;1;1;1;1;1;0;1;1;1;638;OUI
24;1;1;0;1;1;0;1;0;1;1;704;OUI
25;0;1;1;1;1;0;0;1;1;1;352;OUI
26;1;1;1;1;1;0;1;1;0;1;525;OUI
28;1;1;1;1;1;1;0;1;0;1;476;OUI
29;1;1;1;1;1;1;0;1;1;1;627;OUI
32;1;1;0;1;1;1;0;1;1;0;755;OUI
33;1;1;0;1;1;1;1;0;0;1;1216;OUI
34;1;1;1;1;1;0;1;0;0;1;922;OUI
35;0;1;1;1;1;1;1;1;0;0;768;OUI
36;1;1;1;1;1;0;1;0;0;0;877;OUI
39;1;1;0;1;1;0;0;1;0;1;597;OUI
40;1;1;1;1;1;0;0;1;0;1;552;OUI
41;1;1;1;1;1;0;0;1;1;1;493;OUI
2;1;1;0;1;1;0;1;1;0;1;1172;NON
5;0;1;0;1;1;1;0;0;0;1;1053;NON
6;1;1;0;1;1;0;0;1;1;1;977;NON
8;1;1;0;0;1;0;1;0;0;0;1100;NON
12;1;1;1;1;1;1;0;1;0;1;1151;NON
13;1;1;1;1;1;1;0;0;0;1;960;NON
14;1;1;0;1;0;1;1;1;0;1;914;NON
27;1;1;0;1;0;1;1;1;1;1;907;NON
38;1;1;1;1;1;1;1;0;1;0;930;NON
