Groupe	HabitudeTravaillerEnsemble	DifficulteTrouverRoche	QualificationTravailEquipe	BonneCommunication	PerformancePerso	PerformanceCoeq	EquilibreParole	EquilibreQuestions	BonneEquipe	GeneVisionCoeq	PdCs	ChronoSec	TrouveRoche	MoyEcartCroix
1	1	1	Efficace,Méthodique	1	1	1	1	0	1	0	0	528	OUI	79,77943617
3	1	1	Efficace,Méthodique	1	1	1	0	0	1	1	1	392	OUI	49,65136688
4	1	1	Méthodique,Dynamique	1	1	1	0	0	1	0	1	842	OUI	78,49937469
7	0	1	Efficace,BonneAmbiance	1	1	1	1	0	1	0	1	370	OUI	85,78143935
10	1	1	LentementMaisVigilant	1	1	1	1	0	1	0	0	606	OUI	81,3914818
11	1	1	Efficace,BonneAmbiance	1	1	1	0	0	1	1	1	543	OUI	84,84504908
15	1	1	LentementMaisVigilant,Méthodique	1	1	1	1	0	1	1	1	785	OUI	115,8880276
16	1	1	BonneAmbiance,Méthodique	1	1	1	0	0	1	0	1	511	OUI	201,0779908
17	1	1	Efficace,Méthodique	1	1	1	0	1	1	0	1	481	OUI	68,7367931
18	1	1	BonneAmbiance,Méthodique	1	1	1	1	1	1	1	0	750	OUI	114,0035459
19	1	1	Efficace,Méthodique	1	1	1	1	0	1	0	0	629	OUI	84,34557285
20	0	1	Efficace,Dynamique	1	1	1	0	1	1	0	0	641	OUI	107,1971369
21	1	1	Efficace	1	1	1	0	1	1	0	1	605	OUI	122,5475494
22	0	1	BonneAmbiance,Dynamique	1	1	1	1	1	1	0	0	592	OUI	75,09002176
23	0	1	LentementMaisVigilant	1	1	1	1	0	1	1	1	638	OUI	148,4529354
24	1	1	LentementMaisVigilant,Stressant	0	1	1	0	1	0	1	1	704	OUI	102,001665
25	0	1	Efficace,Méthodique	1	1	1	0	0	1	1	1	352	OUI	80,48225363
26	1	1	Chaotique,BonneAmbiance	1	1	1	0	1	1	0	1	525	OUI	51,89069844
28	1	1	LentementMaisVigilant,Efficace	1	1	1	1	0	1	0	1	476	OUI	59,92841331
29	1	1	BonneAmbiance	1	1	1	1	0	1	1	1	627	OUI	67,24524926
32	1	1	Stressant,Méthodique	0	1	1	1	0	1	1	0	755	OUI	104,7883253
2	1	1	LentementMaisVigilant	0	1	1	0	1	1	0	1	1172	NON	103,144457
5	0	1	Frustrant,Dynamique	0	1	1	1	0	0	0	1	1053	NON	162,0723397
6	1	1	BonneAmbiance,Méthodique	0	1	1	0	0	1	1	1	977	NON	238,2954786
8	1	1	Chaotique	0	0	1	0	1	0	0	0	1100	NON	304,7188796
12	1	1	BonneAmbiance,Dynamique	1	1	1	1	0	1	0	1	1151	NON	94,00629197
13	1	1	BonneAmbiance	1	1	1	1	0	0	0	1	960	NON	138,9387415
14	1	1	Chaotique	0	1	0	1	1	1	0	1	914	NON	179,3128959
27	1	1	Chaotique,BonneAmbiance	0	1	0	1	1	1	1	1	907	NON	176,1327908
